NumVert,NumEdges,DFS,Rand,Rand_Radix,Rand_Bucket,Rand_Sort
0,0,1e+06,1e+06,4e+06,4e+06,4e+06
500,250,9.2e+07,4.6e+07,1.32e+08,1.42e+08,9.8e+07
1000,500,1.72e+08,8.9e+07,2.4e+08,2.69e+08,1.87e+08
1500,750,2.85e+08,1.38e+08,3.65e+08,4.14e+08,2.89e+08
2000,1000,3.9e+08,1.84e+08,4.79e+08,5.54e+08,3.79e+08
2500,1250,4.61e+08,2.19e+08,5.68e+08,6.51e+08,4.54e+08
3000,1500,5.53e+08,2.76e+08,7.08e+08,8.2e+08,5.74e+08
3500,1750,6.3e+08,3.1e+08,7.98e+08,9.11e+08,6.44e+08
4000,2000,7.12e+08,3.57e+08,9.18e+08,1.039e+09,7.41e+08
4500,2250,8.48e+08,4.01e+08,1.03e+09,1.196e+09,8.35e+08
5000,2500,9.5e+08,4.47e+08,1.142e+09,1.317e+09,9.26e+08
5500,2750,1.037e+09,4.92e+08,1.284e+09,1.44e+09,1.018e+09
6000,3000,1.298e+09,5.62e+08,1.419e+09,1.624e+09,1.146e+09
6500,3250,1.292e+09,6.1e+08,1.563e+09,1.783e+09,1.276e+09
7000,3500,2.069e+09,6.86e+08,1.73e+09,1.96e+09,1.415e+09
7500,3750,1.405e+09,6.8e+08,1.766e+09,1.981e+09,1.417e+09
8000,4000,1.512e+09,7.17e+08,1.825e+09,2.072e+09,1.488e+09
8500,4250,1.85e+09,8.23e+08,2.076e+09,2.377e+09,1.711e+09
9000,4500,2.064e+09,1e+09,2.44e+09,2.764e+09,1.96e+09
9500,4750,1.909e+09,8.79e+08,2.26e+09,2.606e+09,1.82e+09
10000,5000,2.032e+09,9.64e+08,2.412e+09,2.768e+09,1.982e+09
0,0,1e+06,1e+06,2e+06,2e+06,2e+06
500,500,1.34e+08,8.7e+07,2.44e+08,3.48e+08,2.29e+08
1000,1000,2.28e+08,1.63e+08,4.35e+08,6.29e+08,4.28e+08
1500,1500,3.4e+08,2.37e+08,6.32e+08,9.33e+08,6.35e+08
2000,2000,6.83e+08,4.14e+08,1.087e+09,1.539e+09,1.112e+09
2500,2500,6.4e+08,4.29e+08,1.129e+09,1.669e+09,1.165e+09
3000,3000,8.35e+08,5.45e+08,1.44e+09,2.077e+09,1.496e+09
3500,3500,8.97e+08,5.99e+08,1.57e+09,2.306e+09,1.644e+09
4000,4000,1.118e+09,7.13e+08,1.807e+09,2.604e+09,1.876e+09
4500,4500,1.209e+09,8.42e+08,2.237e+09,3.179e+09,2.398e+09
5000,5000,1.293e+09,8.42e+08,2.192e+09,3.228e+09,2.364e+09
5500,5500,1.487e+09,9.56e+08,2.519e+09,3.791e+09,2.688e+09
6000,6000,1.678e+09,1.066e+09,2.746e+09,4.01e+09,2.932e+09
6500,6500,1.795e+09,1.096e+09,2.873e+09,4.261e+09,3.06e+09
7000,7000,2.283e+09,1.418e+09,3.692e+09,5.103e+09,3.837e+09
7500,7500,2.181e+09,1.392e+09,3.613e+09,5.169e+09,3.856e+09
8000,8000,2.166e+09,1.519e+09,4.058e+09,5.704e+09,4.33e+09
8500,8500,2.268e+09,1.425e+09,3.759e+09,5.553e+09,4.033e+09
9000,9000,2.454e+09,1.565e+09,4.141e+09,6.071e+09,4.458e+09
9500,9500,2.513e+09,1.577e+09,4.085e+09,6.051e+09,4.405e+09
10000,10000,2.646e+09,1.679e+09,4.411e+09,6.335e+09,4.662e+09
0,0,0,1e+06,2e+06,3e+06,2e+06
500,4000,4.91e+08,7.41e+08,1.961e+09,3.025e+09,2.261e+09
1000,8000,9.89e+08,1.492e+09,3.743e+09,5.978e+09,4.51e+09
1500,12000,1.459e+09,2.212e+09,5.721e+09,8.702e+09,6.914e+09
2000,16000,2.14e+09,2.995e+09,7.645e+09,1.1639e+10,9.387e+09
2500,20000,2.388e+09,3.659e+09,9.253e+09,1.4387e+10,1.1502e+10
3000,24000,3.118e+09,4.561e+09,1.1464e+10,1.7408e+10,1.4197e+10
3500,28000,3.692e+09,5.341e+09,1.3503e+10,2.0488e+10,1.666e+10
4000,32000,4.425e+09,6.132e+09,1.5475e+10,2.3469e+10,1.9219e+10
4500,36000,5.886e+09,7.234e+09,1.7894e+10,2.7096e+10,2.2147e+10
5000,40000,5.844e+09,7.993e+09,1.9929e+10,3.0619e+10,2.4762e+10
5500,44000,6.782e+09,8.906e+09,2.2224e+10,3.3057e+10,2.7631e+10
6000,48000,7.314e+09,9.964e+09,2.4566e+10,3.7611e+10,3.0727e+10
6500,52000,8.427e+09,1.188e+10,3.0042e+10,4.3622e+10,3.6491e+10
7000,56000,8.772e+09,1.1913e+10,2.9606e+10,4.3626e+10,3.6558e+10
7500,60000,1.0061e+10,1.333e+10,3.274e+10,4.8247e+10,4.0362e+10
8000,64000,1.1578e+10,1.6103e+10,3.8968e+10,5.7051e+10,4.7691e+10
8500,68000,1.2888e+10,1.815e+10,4.2503e+10,6.2299e+10,5.1641e+10
9000,72000,1.4589e+10,1.8713e+10,4.5202e+10,6.5614e+10,5.4786e+10
9500,76000,1.5023e+10,1.9109e+10,4.6568e+10,6.784e+10,5.6714e+10
10000,80000,1.6035e+10,2.0473e+10,4.9869e+10,7.1052e+10,6.0469e+10
0,0,1e+06,0,1e+06,0,1e+06
500,62500,6.46e+09,1.1761e+10,2.9996e+10,4.5792e+10,3.8151e+10
1000,250000,2.7603e+10,5.0053e+10,1.25293e+11,1.96627e+11,1.63385e+11
1500,562500,6.2339e+10,1.14731e+11,2.88844e+11,4.68201e+11,3.7373e+11
2000,1000000,1.15556e+11,2.04563e+11,5.17222e+11,8.14508e+11,6.63055e+11
2500,1562500,1.90441e+11,3.20674e+11,8.08455e+11,1.26523e+12,1.00979e+12
3000,2250000,2.77719e+11,4.62576e+11,1.16547e+12,1.84022e+12,1.46065e+12
3500,3062500,3.97408e+11,6.59503e+11,1.6478e+12,2.55583e+12,2.06592e+12
4000,4000000,5.23523e+11,8.63207e+11,2.15497e+12,3.34223e+12,2.69252e+12
4500,5062500,6.43819e+11,1.14579e+12,2.84516e+12,4.37388e+12,3.5235e+12
5000,6250000,8.2791e+11,1.42201e+12,3.47578e+12,5.31315e+12,4.29138e+12
5500,7562500,9.87552e+11,1.66373e+12,4.14699e+12,6.38302e+12,5.15466e+12
6000,9000000,1.17415e+12,2.00814e+12,4.95114e+12,7.63308e+12,6.13576e+12
6500,10562500,1.46671e+12,2.42984e+12,5.90077e+12,9.01305e+12,7.28629e+12
7000,12250000,1.68845e+12,2.71153e+12,6.75222e+12,1.03747e+13,8.38024e+12
7500,14062500,1.98909e+12,3.46885e+12,8.32609e+12,1.24975e+13,1.01314e+13
8000,16000000,2.09744e+12,3.50837e+12,8.73409e+12,1.35073e+13,1.09828e+13
8500,18062500,2.51262e+12,4.18142e+12,1.01389e+13,1.5708e+13,1.26275e+13
9000,20250000,2.96414e+12,5.22737e+12,1.27621e+13,1.92723e+13,1.55631e+13
9500,22562500,3.24376e+12,5.61214e+12,1.37313e+13,2.06885e+13,1.67097e+13
10000,25000000,3.73269e+12,6.43055e+12,1.55444e+13,2.33273e+13,1.90199e+13
