NumVert,NumEdges,DFS,Rand,Rand_Radix,Rand_Bucket,Rand_Sort
0,0,2e+06,0,0,0,0
500,250,1.15e+08,5.1e+07,1.21e+08,1.62e+08,1.03e+08
1000,500,2.07e+08,9.6e+07,2.29e+08,3.03e+08,2.01e+08
1500,750,3.01e+08,1.4e+08,3.38e+08,4.34e+08,2.96e+08
2000,1000,5.76e+08,2.9e+08,7.6e+08,8.67e+08,7.08e+08
2500,1250,4.4e+08,2.16e+08,5.24e+08,6.57e+08,4.5e+08
3000,1500,6.13e+08,2.8e+08,6.69e+08,8.56e+08,6.12e+08
3500,1750,6.13e+08,3.06e+08,7.15e+08,9.03e+08,6.36e+08
4000,2000,7.39e+08,3.6e+08,8.45e+08,1.065e+09,7.55e+08
4500,2250,8.45e+08,3.96e+08,9.22e+08,1.182e+09,8.22e+08
5000,2500,9.51e+08,4.46e+08,1.037e+09,1.326e+09,9.29e+08
5500,2750,1.031e+09,5.21e+08,1.234e+09,1.546e+09,1.115e+09
6000,3000,1.132e+09,5.43e+08,1.244e+09,1.585e+09,1.119e+09
6500,3250,1.19e+09,5.74e+08,1.33e+09,1.679e+09,1.191e+09
7000,3500,1.362e+09,8.47e+08,2.155e+09,2.579e+09,1.985e+09
7500,3750,1.426e+09,6.75e+08,1.556e+09,1.956e+09,1.4e+09
8000,4000,1.563e+09,8.26e+08,1.874e+09,2.27e+09,1.676e+09
8500,4250,1.73e+09,7.61e+08,1.764e+09,2.255e+09,1.586e+09
9000,4500,1.84e+09,9.06e+08,2.021e+09,2.642e+09,1.81e+09
9500,4750,2.146e+09,1.125e+09,2.339e+09,2.896e+09,2.123e+09
10000,5000,2.024e+09,9.09e+08,2.105e+09,2.655e+09,1.881e+09
0,0,0,1e+06,1e+06,3e+06,2e+06
500,500,1.17e+08,7.8e+07,1.91e+08,3.14e+08,2.04e+08
1000,1000,2.32e+08,1.58e+08,3.83e+08,6e+08,4.27e+08
1500,1500,3.16e+08,2.42e+08,5.71e+08,8.75e+08,6.36e+08
2000,2000,4.25e+08,3.15e+08,7.39e+08,1.165e+09,8.36e+08
