NumVert,NumEdges,DFS,Rand,Rand_Radix,Rand_Bucket,Rand_Sort
2500,2500,5.69e+08,3.83e+08,9.08e+08,1.455e+09,1.045e+09
3000,3000,6.96e+08,4.58e+08,1.085e+09,1.67e+09,1.211e+09
3500,3500,9.31e+08,6.17e+08,1.424e+09,2.172e+09,1.612e+09
4000,4000,1.063e+09,6.77e+08,1.574e+09,2.414e+09,1.772e+09
4500,4500,1.346e+09,8.15e+08,1.828e+09,2.817e+09,2.058e+09
5000,5000,1.344e+09,9.36e+08,2.135e+09,3.277e+09,2.406e+09
5500,5500,1.807e+09,1.326e+09,2.774e+09,3.968e+09,3.01e+09
6000,6000,1.946e+09,1.342e+09,2.85e+09,4.112e+09,3.106e+09
6500,6500,2.303e+09,1.39e+09,2.983e+09,4.471e+09,3.345e+09
7000,7000,1.968e+09,1.184e+09,2.804e+09,4.23e+09,3.111e+09
7500,7500,2.142e+09,1.297e+09,3.058e+09,4.52e+09,3.379e+09
8000,8000,2.229e+09,1.354e+09,3.178e+09,4.884e+09,3.566e+09
8500,8500,2.197e+09,1.382e+09,3.244e+09,4.954e+09,3.577e+09
9000,9000,2.429e+09,1.507e+09,3.552e+09,5.375e+09,3.895e+09
9500,9500,2.699e+09,1.758e+09,3.959e+09,6.004e+09,4.326e+09
10000,10000,2.781e+09,1.76e+09,3.999e+09,6.015e+09,4.427e+09
0,0,1e+06,1e+06,3e+06,2e+06,2e+06
500,4000,4.84e+08,7.43e+08,1.715e+09,2.649e+09,2.038e+09
1000,8000,1.073e+09,1.516e+09,3.522e+09,5.248e+09,4.064e+09
1500,12000,1.693e+09,2.312e+09,5.272e+09,7.995e+09,6.14e+09
2000,16000,2.54e+09,3.215e+09,7.298e+09,1.097e+10,8.462e+09
2500,20000,3.773e+09,4.785e+09,1.0261e+10,1.4974e+10,1.1722e+10
3000,24000,4.152e+09,6.531e+09,1.5036e+10,2.0989e+10,1.6805e+10
3500,28000,4.57e+09,6e+09,1.3473e+10,1.9857e+10,1.55e+10
4000,32000,6.144e+09,7.623e+09,1.6787e+10,2.4081e+10,1.9019e+10
4500,36000,6.308e+09,9.049e+09,1.9186e+10,2.7455e+10,2.1716e+10
5000,40000,6.493e+09,8.663e+09,1.923e+10,2.8186e+10,2.198e+10
5500,44000,9.037e+09,1.2507e+10,2.8567e+10,3.8779e+10,3.1888e+10
6000,48000,8.09e+09,1.0703e+10,2.4523e+10,3.501e+10,2.7875e+10
6500,52000,1.0534e+10,1.6262e+10,3.2682e+10,4.528e+10,3.6991e+10
7000,56000,1.0729e+10,1.4429e+10,3.1987e+10,4.4548e+10,3.6033e+10
7500,60000,9.731e+09,1.3236e+10,2.9803e+10,4.2455e+10,3.3786e+10
8000,64000,1.0884e+10,1.8536e+10,3.8045e+10,5.2044e+10,4.2365e+10
8500,68000,1.205e+10,1.9885e+10,4.7025e+10,6.2633e+10,5.1344e+10
9000,72000,1.2193e+10,1.6451e+10,3.6928e+10,5.2777e+10,4.1585e+10
9500,76000,1.5115e+10,2.1853e+10,4.7056e+10,6.4242e+10,5.2045e+10
10000,80000,1.5619e+10,2.4295e+10,5.2736e+10,7.0969e+10,5.7842e+10
0,0,1e+06,0,0,0,0
500,62500,6.979e+09,1.3916e+10,3.1956e+10,4.6123e+10,3.615e+10
1000,250000,2.7069e+10,5.4725e+10,1.24871e+11,1.83364e+11,1.4149e+11
1500,562500,6.416e+10,1.2362e+11,2.82556e+11,4.12572e+11,3.18466e+11
2000,1000000,1.19201e+11,2.25538e+11,5.10939e+11,7.40087e+11,5.77513e+11
2500,1562500,1.92679e+11,3.70085e+11,8.19411e+11,1.17679e+12,9.23985e+11
3000,2250000,2.7865e+11,4.697e+11,1.08102e+12,1.60511e+12,1.21894e+12
3500,3062500,3.9835e+11,6.9284e+11,1.58700e+12,2.29116e+12,1.78377e+12
4000,4000000,5.26595e+11,9.30925e+11,2.08258e+12,3.04741e+12,2.36426e+12
4500,5062500,6.63522e+11,1.22475e+12,2.78793e+12,3.96437e+12,3.12951e+12
5000,6250000,9.54878e+11,1.77913e+12,4.25623e+12,5.84299e+12,4.72582e+12
5500,7562500,1.10005e+12,2.18166e+12,4.68406e+12,6.5086e+12,5.13941e+12
6000,9000000,1.33571e+12,2.21192e+12,5.04381e+12,7.82727e+12,6.1713e+12
6500,10562500,1.39065e+12,2.42709e+12,5.53353e+12,8.22597e+12,6.16419e+12
7000,12250000,1.75335e+12,3.33617e+12,7.47903e+12,1.042e+13,8.3578e+12
7500,14062500,2.02545e+12,3.55396e+12,8.19895e+12,1.15319e+13,9.19703e+12
8000,16000000,2.53968e+12,4.48392e+12,9.88691e+12,1.37917e+13,1.11699e+13
8500,18062500,2.61941e+12,4.59728e+12,1.01965e+13,1.45738e+13,1.13468e+13
9000,20250000,2.77236e+12,4.98539e+12,1.11706e+13,1.60209e+13,1.26339e+13
9500,22562500,3.29254e+12,6.04266e+12,1.34733e+13,1.90895e+13,1.51295e+13
10000,25000000,3.69885e+12,6.44244e+12,1.46493e+13,2.07752e+13,1.61244e+13
