NumVert,NumEdges,DFS,Rand,Rand_Radix,Rand_Bucket,Rand_Sort
0,0,2e+06,0,5.4e+07,2e+06,1e+06
200,100,3.9e+07,2e+07,1.47e+08,4.1e+07,4.3e+07
400,200,9.5e+07,3.5e+07,1.86e+08,7.2e+07,7.3e+07
600,300,1.09e+08,5.4e+07,2.63e+08,1.09e+08,1.13e+08
800,400,1.34e+08,6.9e+07,3.21e+08,1.4e+08,1.46e+08
1000,500,1.79e+08,9.1e+07,4.1e+08,1.85e+08,1.92e+08
1200,600,2.18e+08,1.05e+08,4.55e+08,2.08e+08,2.16e+08
1400,700,2.5e+08,1.24e+08,5.38e+08,2.51e+08,2.61e+08
1600,800,2.79e+08,1.4e+08,6.06e+08,2.83e+08,2.94e+08
1800,900,2.96e+08,1.51e+08,6.31e+08,3.03e+08,3.14e+08
0,0,0,0,4.9e+07,0,0
200,200,4.5e+07,2.9e+07,1.76e+08,5.8e+07,7.4e+07
400,400,8.5e+07,5.6e+07,2.97e+08,1.14e+08,1.43e+08
600,600,1.25e+08,9e+07,4.41e+08,1.84e+08,2.38e+08
800,800,1.68e+08,1.2e+08,5.65e+08,2.38e+08,3.13e+08
1000,1000,2.4e+08,1.51e+08,7.39e+08,3.04e+08,3.97e+08
1200,1200,2.67e+08,1.75e+08,8.27e+08,3.48e+08,4.68e+08
1400,1400,3.17e+08,2.05e+08,9.4e+08,4.1e+08,5.36e+08
1600,1600,3.96e+08,2.48e+08,1.198e+09,4.77e+08,6.28e+08
1800,1800,4.19e+08,3.18e+08,1.4e+09,6e+08,7.9e+08
0,0,1e+06,0,5.1e+07,2e+06,1e+06
200,1600,1.52e+08,2.59e+08,1.141e+09,5.24e+08,7.55e+08
400,3200,4.28e+08,6.32e+08,2.801e+09,1.253e+09,1.748e+09
600,4800,5.6e+08,8.58e+08,3.721e+09,1.777e+09,2.581e+09
800,6400,6.6e+08,1.173e+09,5.018e+09,2.345e+09,3.497e+09
1000,8000,9.19e+08,1.396e+09,5.767e+09,2.772e+09,4.204e+09
1200,9600,1.094e+09,1.623e+09,6.778e+09,3.253e+09,4.911e+09
1400,11200,1.242e+09,1.909e+09,7.994e+09,3.83e+09,5.819e+09
1600,12800,1.472e+09,2.258e+09,9.316e+09,4.489e+09,6.849e+09
1800,14400,1.854e+09,2.663e+09,1.054e+10,5.284e+09,7.931e+09
0,0,0,0,5e+07,0,0
200,10000,8.91e+08,1.84e+09,7.781e+09,3.827e+09,5.603e+09
400,40000,3.989e+09,7.572e+09,3.018e+10,1.5305e+10,2.3915e+10
600,90000,9.836e+09,1.7664e+10,7.0335e+10,3.5511e+10,5.508e+10
800,160000,1.6823e+10,3.2056e+10,1.24498e+11,6.3478e+10,1.0048e+11
1000,250000,2.6848e+10,4.993e+10,1.96422e+11,1.00111e+11,1.59333e+11
1200,360000,3.9571e+10,7.5758e+10,2.90764e+11,1.50641e+11,2.37767e+11
1400,490000,5.7662e+10,1.00573e+11,3.91702e+11,2.01828e+11,3.22853e+11
1600,640000,7.2133e+10,1.31885e+11,5.1655e+11,2.67424e+11,4.2842e+11
1800,810000,9.3304e+10,1.74972e+11,6.60964e+11,3.48397e+11,5.58444e+11
